Action,Lieux,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20
S'assoir (chaise),Maison,0.568146,-0.069901,0.180298,0.136002,-0.092651,-0.121384,-0.365585,0.036636,-0.865982,-1.435791,-0.943787,-0.984482,-0.548737,-0.725922,-0.803726,-1.034760,0.187469,-0.062714,0.408936,-0.509247,7.039932,7.275757,6.751434,6.018799,5.196396,4.441025,3.683258,4.436234,4.492508,5.223923,5.114990,4.673264,5.602219,6.940567,7.345200,7.023178,6.480881,7.175201,7.444550,7.606155,6.464905,6.716293,6.279358,5.978882,5.626938,5.182816,6.280548,7.943329,11.392181,11.217392,13.509842,11.626801,7.852341,7.542297,7.401047,8.818405,6.291321,4.590240,5.048737,5.573074,14.072983,13.922150,13.211090,12.133682,10.730682,9.502457,9.598221,12.416199,15.018707,15.005524,17.681046,15.315582,12.905823,13.756943,13.942520,14.806824,12.959671,11.702728,12.902222,12.669983
Se lever (chaise),Maison,-0.030396,-0.026810,0.089310,0.112061,0.361053,0.605255,0.543015,-0.692398,-2.482056,-1.076660,-1.144897,-1.092224,-1.012024,-0.109406,-0.230316,-0.059128,0.124023,0.353867,1.197830,0.776443,6.735870,6.756226,6.692780,6.958527,7.500809,6.778961,6.678406,7.796494,7.949722,6.635315,6.172028,4.858810,4.771423,4.572708,5.328079,6.212738,6.665237,7.762985,8.187958,7.450531,7.580612,7.173599,6.862350,6.798904,5.659256,4.990082,5.855591,11.738144,15.925598,9.822769,9.601318,7.557861,6.060287,6.004028,5.521591,5.514404,6.014801,4.885925,6.721085,6.715103,14.286087,13.903015,13.644440,13.869492,13.521118,12.374298,13.077011,18.842239,21.393265,15.381424,14.628448,11.324448,9.819687,10.467331,10.619354,11.668015,12.804062,13.002777,16.106873,14.942078
S'assoir (chaise),Maison,0.171906,-0.585861,-0.206375,0.083328,-0.546356,-0.584656,-0.168060,-0.697189,0.128815,0.126419,0.292816,-0.936600,0.156342,0.274857,-0.203979,0.334717,0.072556,0.505905,0.314362,0.370636,5.984085,5.176041,3.898743,4.299774,5.162872,5.645309,5.887131,5.592636,5.253860,5.362793,5.981689,7.031555,8.040710,7.613342,7.425400,7.245834,7.712708,6.992050,6.848389,7.026764,6.853973,4.721924,3.912689,7.270554,10.809189,11.903336,12.748489,11.691452,9.864670,9.011139,5.901077,7.585388,5.184006,6.680389,6.238663,6.637283,6.721085,7.013184,6.612152,6.913818,13.009964,9.312103,7.605057,11.653656,15.425705,16.963989,18.467560,16.586899,15.247345,14.500351,12.175583,13.680344,13.381058,14.568588,13.460083,14.217834,14.506348,14.511139,13.774902,14.311218
Se lever (chaise),Maison,0.483154,-0.016037,-0.007660,-0.585861,-0.433823,-1.001251,0.054596,0.246124,0.267685,0.112061,0.374222,0.855453,0.404144,0.574142,0.262894,0.613647,0.893768,0.788422,0.714203,0.499924,7.312866,7.341599,7.020782,7.217102,7.716293,6.188797,5.567505,4.699600,4.139359,4.256668,5.082672,5.984085,6.920227,7.587006,7.144073,7.068665,7.156052,7.309280,7.177597,7.224289,6.017197,6.269775,5.280975,7.908615,12.822708,13.959961,10.153183,9.816788,7.142471,5.935791,5.069092,4.937408,6.103378,7.259781,6.418228,6.547501,6.662430,6.721085,6.676788,7.017975,13.813217,13.595337,12.294098,14.539856,20.105179,19.147507,15.775284,14.762512,11.549515,10.304520,10.525986,11.776947,13.427750,15.420929,13.825195,14.229813,14.712250,14.818787,14.568588,14.742188
S'assoir (depuis position allongée),Maison,0.310776,0.009109,0.021072,0.034241,-0.010056,0.082123,0.043823,-0.624161,-0.490082,0.388580,0.515472,-1.426224,-0.196793,0.106064,0.058182,-0.142929,-0.190811,-0.291367,0.120438,0.175507,7.472092,7.470886,6.881912,5.933807,4.582291,5.031204,6.067886,6.956131,7.208725,6.504822,6.073868,7.256607,8.040710,8.044296,7.734253,7.555878,7.403854,7.572647,7.393082,7.505600,6.536728,6.558289,5.931000,5.371948,5.043945,4.646515,8.817215,10.092117,12.097275,12.413300,9.177536,7.450119,6.706726,6.979660,6.117752,5.954941,5.890305,5.865158,6.249435,6.583420,14.319595,14.038284,12.833984,11.339996,9.616180,9.759842,14.928925,16.424088,18.815918,19.306702,15.766876,13.280502,14.550644,15.130020,13.910187,13.367889,13.103348,13.146439,13.762955,14.264526
Se lever (chaise),Maison,0.780045,0.351471,-0.038773,-0.391922,0.182678,0.080933,-0.279388,0.589706,0.253311,0.552582,0.596878,0.334717,0.345490,0.347885,0.480759,0.582520,0.544205,0.412521,0.684265,0.596878,7.439758,7.535538,7.474487,7.470886,7.724670,7.573837,6.290543,5.753052,5.919449,5.117386,4.763046,5.095840,6.201965,7.041122,7.837204,8.198730,7.844391,7.869522,7.830017,7.770157,5.641296,5.623352,5.180420,6.126129,8.849533,11.746521,12.692230,10.901367,9.371475,7.313660,6.059097,5.453354,4.903885,5.066696,5.260620,5.671234,6.054306,6.203934,6.172821,6.128525,13.861099,13.510361,12.616135,13.205093,16.756882,19.401291,18.703384,17.244125,15.544235,12.983627,11.419022,10.883911,11.451340,12.455704,13.578583,14.452484,14.442902,14.485977,14.687103,14.495560
S'assoir (chaise),Maison,0.384995,0.212616,-0.044769,-0.227921,-0.002869,-0.437408,-0.716339,-0.656479,-0.278198,-0.321289,0.186279,0.438858,-0.096237,0.429291,0.431686,-0.211166,0.872208,0.890167,0.353867,0.631592,7.414627,7.117737,6.580246,5.581863,4.765442,4.587067,4.826492,5.678833,6.379135,6.139709,5.233505,5.596222,6.795731,8.234634,7.898254,7.795303,7.909027,7.973663,7.717499,7.431381,6.218307,6.089020,5.242661,5.865158,4.548355,6.439774,10.823547,10.803207,11.483154,11.948822,11.298798,8.021133,6.926987,6.570251,6.202744,4.942200,4.701584,6.322449,6.071060,6.255417,14.017929,13.419373,11.778137,11.219101,9.310928,10.589432,14.933701,15.825562,17.584091,17.767242,16.718582,14.056213,13.626480,15.234177,14.532684,12.526337,13.482819,15.186279,14.142426,14.318390
Se lever (chaise),Maison,0.394577,0.344299,0.212616,0.132401,-0.158493,-0.231506,-0.192001,-0.024414,0.141983,1.056564,0.583710,0.842285,0.388580,0.058182,0.495132,-0.133347,0.024673,0.716599,0.460419,0.465195,7.545105,7.456528,7.238647,7.196747,7.197952,7.387085,7.997620,7.105774,6.419830,6.671219,5.595032,4.377579,4.165695,5.018036,6.527573,7.338013,7.601379,7.406250,7.747421,7.443359,5.965714,6.573837,6.302109,6.118942,6.785736,7.396255,9.329575,11.182678,11.982346,9.188309,9.201477,6.414627,5.622147,5.107391,6.077042,6.263794,6.832413,6.585815,6.134506,6.831223,13.905396,14.374664,13.753372,13.448090,13.825195,14.551834,17.135193,18.264038,18.544159,16.916092,15.380219,11.634491,10.176422,10.183609,13.099747,13.468460,14.458466,14.708664,14.342346,14.739777
S'assoir (chaise),Maison,0.369431,0.180298,0.278458,0.258102,0.296402,0.339508,0.045013,-0.010056,0.125229,0.720184,-0.145325,0.727371,-0.583466,-1.677612,0.156342,-0.047165,0.830322,-0.291367,0.492737,1.601242,7.758194,7.889877,7.780945,7.561874,7.341599,6.952545,5.990082,4.454193,4.044785,5.166473,7.244629,7.365540,7.666016,7.097397,7.312866,8.512360,8.543488,9.643631,7.043518,6.828049,6.361954,6.493637,6.020782,6.235062,6.013596,5.823257,5.058319,4.416672,4.323288,8.636444,8.990784,14.416046,11.608856,8.611313,6.820450,5.224716,6.073456,5.327667,6.310486,5.375549,14.489578,14.563812,14.080185,14.055038,13.651596,13.115311,11.093414,8.860809,8.493301,14.523102,16.090088,22.508957,18.691406,14.031097,14.289658,13.689911,15.447266,14.679932,13.846741,13.804840
Se lever (chaise),Maison,0.563370,0.574142,-0.073502,0.340698,0.435272,0.288025,-0.607407,-0.039978,-0.042374,0.198242,0.352676,-0.081879,-0.304535,0.443649,0.776443,0.393372,0.724976,0.812363,0.698639,0.665115,7.037537,7.134506,7.602570,7.608551,7.202744,7.948532,7.809662,6.431808,6.138519,5.405884,4.818115,4.978531,6.084641,6.668839,7.516373,7.500809,7.625320,7.917404,7.662430,7.612152,7.539902,6.000427,5.707138,5.911850,7.093384,10.166351,13.710953,9.821579,8.553848,7.146057,6.163239,5.693970,5.812485,5.263016,5.872345,6.988037,6.105774,6.424210,6.554688,6.248230,15.140808,13.709076,13.236206,13.861099,14.731400,18.402908,20.913208,16.213409,14.649994,12.750183,11.334030,10.590622,11.592590,12.375504,14.165161,14.882217,14.456070,15.153976,14.915756,14.525497
S'allonger (depuis position debout),Maison,-1.976883,-2.222290,-1.747040,1.154724,-1.324463,-3.664795,-1.148499,7.558029,2.648712,3.550125,2.099243,6.475845,10.419098,9.132217,10.769852,11.361206,9.940247,8.697662,8.364868,7.683716,2.593903,1.587143,2.647766,3.735931,5.474121,6.534760,7.719879,10.292450,3.599457,3.874802,5.617783,5.924240,1.392014,0.279907,-1.476242,1.335739,1.247162,-0.882477,-0.475464,-0.307877,5.877136,11.436462,7.700317,8.620880,11.096497,11.356262,8.611313,11.097687,7.284927,3.024445,6.358368,7.556671,9.032684,1.465820,4.644119,3.603836,4.526794,4.201187,4.293365,6.401459,6.494156,10.801315,8.601044,13.511536,15.246155,14.226227,15.182693,28.948166,13.533096,10.449371,14.075394,19.956757,20.843796,10.877945,13.937729,16.300781,15.714203,12.016373,12.182770,13.777298
S'allonger (depuis position debout),Maison,-1.526779,-1.670425,-0.746262,-0.858795,-2.454529,-1.645294,-0.772598,-2.916611,-2.424606,0.085724,-6.086533,-4.306442,-2.482056,-5.812393,-10.102798,-8.788391,-12.367722,-8.794373,-9.760437,-9.288773,5.651291,5.061127,5.536377,5.167664,4.716354,4.322510,6.608978,4.576294,2.970993,4.023239,8.274139,8.234634,6.602997,6.020004,4.602631,-4.712006,-3.484985,-2.447098,0.780289,3.828110,8.532303,8.742996,7.545883,5.368362,10.355484,9.070999,7.521942,6.255417,6.941360,2.387589,8.802841,4.458572,6.184784,3.591873,-1.781921,-6.717560,-5.694046,2.140976,1.413147,3.309357,12.656815,12.133698,12.335999,9.677231,12.617310,11.748215,13.358322,7.915100,7.487747,6.496552,10.990448,8.386765,10.305725,3.799484,-7.282089,-20.217957,-21.546753,-9.100494,-7.567001,-2.151306
S'allonger (depuis position debout),Maison,-2.552689,-1.101807,-0.846817,-0.717529,1.862213,1.787994,1.375000,4.640686,5.654633,7.732803,11.185242,11.218765,12.226715,8.491760,9.377609,9.295013,9.198059,9.166931,8.941879,9.053207,3.574326,3.490524,4.339279,6.070282,5.311325,10.621658,12.689056,2.362854,2.100693,0.246384,-4.217606,-3.817780,-3.128235,-2.035294,-1.188934,-1.340973,-1.387665,-3.008530,-2.544052,-2.368088,7.295700,7.143661,8.648422,11.349075,9.586945,9.876648,9.314011,5.984863,1.888397,0.314209,0.254349,-1.259979,2.042816,1.796219,-1.031342,1.471802,1.895569,2.391174,3.664886,2.741928,8.317337,9.532379,12.140884,16.701828,16.760483,22.286301,23.378067,12.988403,9.643723,8.293396,7.221985,6.141006,11.141296,8.252686,7.157333,9.425842,9.705963,8.549576,10.062714,9.427048
S'allonger (depuis position debout),Maison,-0.305725,-0.620575,-0.432632,-0.675644,-1.118561,-1.645294,-2.054703,-2.510788,-2.874710,-2.416214,-2.442551,3.483093,3.244873,-0.660080,2.232117,9.842087,6.506973,14.006805,11.751465,8.568375,9.324005,9.422165,9.285690,9.302460,8.934937,8.427368,7.500809,6.896286,6.522781,7.152466,8.020355,10.226608,12.414917,10.235001,2.478973,6.975296,1.540451,-2.808609,-5.441040,-2.223236,4.001282,3.284210,3.401520,3.405121,3.030426,3.524826,3.381180,3.855225,4.824875,3.913879,5.315689,6.950928,6.553497,3.624191,-1.078018,0.239990,-2.702484,-2.357727,-2.526520,-2.597153,13.019562,12.085800,12.254578,12.031937,10.846802,10.306900,8.827286,8.240723,8.472946,8.650131,10.893494,20.660629,22.213287,13.199112,3.633072,17.057373,5.344940,8.840469,3.783905,3.747986
S'allonger (depuis position debout),Maison,0.600479,0.062973,-0.136948,-1.046738,-1.454956,-0.774994,-1.341217,-1.536346,1.549774,3.996643,8.836533,3.675827,4.347397,9.397964,12.521210,11.465363,12.188416,10.088699,9.479370,10.239532,8.797272,9.059448,9.376678,8.586594,7.507996,6.018799,6.106186,6.063095,7.351181,9.496384,16.438370,13.571320,0.701279,-0.087601,-2.333374,-3.881226,-5.736725,-1.664185,-1.410400,-1.501389,4.628555,5.561096,4.307739,4.032394,3.437439,2.820938,4.410690,6.300903,3.290192,4.753052,2.822128,5.848404,-1.465881,-2.175766,0.265121,-1.750793,-1.858536,2.063171,3.098663,0.342941,14.026306,14.683517,13.547470,11.572250,9.490479,8.064743,9.175659,10.827652,12.191147,18.246078,28.097031,23.095551,3.582794,7.134598,10.452957,5.833344,4.593155,10.487686,11.167633,9.081085
S'allonger (depuis position debout),Maison,-0.208771,-0.918655,-1.654861,-1.908646,-1.877533,-2.314468,-1.933792,-1.547119,1.896927,3.400497,5.440353,5.769562,8.488174,9.233963,13.463318,13.311295,10.414307,12.190811,8.561188,9.754700,8.551865,8.001205,7.656433,7.660034,7.263794,6.711929,6.958527,8.769745,9.029510,9.891434,10.936493,5.342438,1.725998,1.010132,-1.623489,-4.836502,-3.915939,-0.191757,-0.169006,0.563614,4.143723,4.410690,4.274216,5.336044,5.975296,5.448563,4.772202,6.461319,5.121765,2.623413,4.866776,-1.865723,-1.629883,2.740723,-1.033737,-2.172180,1.553207,2.441452,0.655380,-0.518982,12.486816,11.493240,10.275787,11.087433,11.361557,9.846024,9.796936,13.683945,16.048203,15.915344,21.243622,9.246277,8.584290,12.984818,10.806091,6.302612,8.051575,14.440506,9.047562,9.799332
S'allonger (depuis position debout),Maison,-0.879150,-1.390305,-2.078644,-2.346786,-1.997238,-1.551910,-0.481705,2.740891,1.260071,10.221573,4.997421,7.869263,13.346008,14.895050,8.929901,8.929901,10.508881,8.078766,10.563950,10.106644,8.950500,8.545883,8.471664,7.791718,6.966904,6.447372,7.820435,9.143234,9.681931,17.422394,3.005707,0.378067,-2.462662,-6.416672,-4.725174,-2.060425,-0.274353,-0.469482,-1.264359,-1.628281,2.702423,3.473358,3.561935,5.069092,3.291397,3.928253,3.630173,3.259079,-1.158234,1.009720,-1.986618,-2.048874,0.144211,-3.229218,0.403992,-0.143082,3.704391,-0.345398,0.599121,0.368073,10.773773,10.628937,9.954956,10.514023,8.261063,8.823715,10.968903,15.143204,9.783768,28.653687,6.016510,6.198456,11.027557,5.249161,4.608719,6.726395,13.938919,7.263885,9.898712,8.846436
S'allonger (depuis position debout),Maison,0.645966,-0.449387,-1.286163,-1.577057,-2.334824,-1.561493,-1.074265,1.495911,5.223679,-5.128845,5.800674,1.511459,18.146378,15.688736,8.533661,9.807373,9.831314,10.630981,8.842514,9.420715,8.319626,7.553482,7.409836,7.169220,7.630096,7.293716,7.102188,7.932968,8.154434,10.209854,11.399780,-2.129868,-8.109375,-7.832855,-6.138947,-0.904022,-0.870514,-0.529343,0.636642,0.281097,4.393921,5.696365,3.819321,6.138092,6.318863,5.719116,5.045151,6.415833,7.849960,1.267090,3.939026,-4.088730,-9.031555,-2.671371,0.587143,2.101471,4.125778,-2.089569,-1.293503,0.893600,13.359512,12.800461,9.942993,11.730255,11.614136,11.451340,11.073074,15.844711,21.228073,6.348099,21.139481,-4.707138,1.005447,5.184509,2.981857,11.004822,13.086578,8.012070,8.185654,10.595413
S'allonger (depuis position debout),Maison,-0.448181,-0.383545,-1.797318,1.726944,0.975159,0.309570,-2.149261,-3.476852,0.805176,-4.435730,-3.992798,-14.838531,-7.381790,-12.169006,-9.379761,-11.022186,-10.014221,-8.939224,-9.723328,-9.669449,7.194351,7.889877,9.720245,7.692352,5.863174,6.717911,4.994080,7.931778,6.558701,11.197464,3.664108,2.027664,-8.598999,-4.194855,-1.072815,0.452286,1.867264,2.200058,1.359695,0.469040,6.998810,9.413361,7.191544,6.273376,5.403076,2.661713,3.729538,4.516022,1.225204,-3.904373,2.853256,-1.377304,-1.743607,-1.712494,-1.315048,0.243576,3.862411,0.523697,-0.577637,-0.364548,13.744980,16.919693,15.114471,15.692673,12.241409,9.689194,6.574356,8.970947,8.589081,2.857361,2.524567,-14.188171,-17.724396,-18.076355,-11.767624,-10.326324,-4.284546,-6.215469,-8.941269,-9.564957
S'allonger (depuis position debout),Maison,-0.079483,0.899750,1.940033,1.087692,0.759689,1.037415,0.565750,0.792007,-0.648102,-0.063919,-3.506775,-4.825989,-4.035904,-13.656998,-15.937469,-15.778259,-7.195053,-10.600800,-9.034988,-8.173080,6.131332,6.070282,6.231888,7.780945,6.531158,6.063095,5.395111,5.678833,5.160477,6.058304,8.602142,10.468430,8.694321,2.243149,-4.770660,-6.502869,-1.507370,-0.663406,0.449890,0.300247,8.389847,8.385056,6.802490,6.625320,8.877060,7.515961,7.721863,8.695114,5.163666,4.545959,7.399841,4.338852,3.186050,-2.088379,-2.148239,-5.744324,1.724396,4.182037,5.816086,5.435394,14.441696,15.355087,14.974411,15.493958,16.167908,14.616470,13.682724,15.165955,9.676041,10.540344,12.495209,9.981293,7.844467,-13.502228,-22.856369,-28.025452,-6.978027,-7.082169,-2.769012,-2.437439
