Action,Lieux,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20
Marcher,Maison,0.405350,0.089310,-1.964920,-2.130112,-0.284180,0.122833,0.823135,0.811157,0.696243,0.267685,-0.219543,-0.139328,-1.015610,-2.515579,-3.548676,-0.245880,0.436478,0.714203,0.742935,-0.858795,5.267029,5.866776,3.843674,4.066330,3.834091,4.897125,5.602219,3.919098,4.514053,4.221954,4.887543,5.452576,5.842834,4.218369,4.367996,3.053589,5.156891,5.621368,5.942184,3.145767,8.879456,9.365479,9.461258,9.473221,7.937347,8.297668,8.562225,11.520264,9.006348,7.531525,7.402237,7.372314,9.705460,11.168320,8.933334,7.196335,6.012405,7.905014,10.719406,13.485901,14.551834,15.321564,11.340012,11.409439,11.487259,13.317627,14.987579,16.250519,14.216644,12.021164,12.070236,12.685562,14.532684,12.871109,9.752655,10.004044,11.605774,14.240585,17.404526,15.772873
Marcher,Maison,-0.231506,-0.499664,-0.127365,0.068954,-0.160889,0.033051,-0.042374,-1.691971,-1.978088,-0.065109,0.449646,-0.026810,0.089310,-0.091446,1.779617,0.692657,-0.044769,0.084518,-0.061523,-2.297714,5.683624,4.737900,4.636154,3.692841,4.294983,5.524399,5.482498,4.460175,3.864029,3.168503,4.555954,5.161682,5.439407,3.392365,3.777832,3.858032,4.725937,5.344833,5.490891,3.867615,9.068604,11.514282,7.448929,9.297241,7.128098,7.198730,9.185913,11.514282,9.142822,9.333160,6.557083,7.470474,10.028671,12.876587,9.139236,7.726654,7.010788,7.810455,9.142822,13.320709,14.520721,15.752518,11.957718,13.059036,11.262192,12.756180,14.626038,14.282486,11.028763,12.436554,11.562683,12.605347,15.557388,16.177505,14.696686,12.277344,11.691956,13.239807,14.572189,14.890610
Marcher,Maison,0.334717,-0.259048,-0.784576,-2.732254,-1.162857,0.412521,0.155151,0.327530,0.052200,1.380981,0.024673,-0.001663,0.017487,-0.763031,-3.100967,-3.116531,-0.909073,-5.686707,1.567734,0.537033,5.296951,6.599396,7.335617,4.292587,4.539185,4.781006,5.890717,6.510818,6.417435,4.977325,4.253082,5.437012,5.344833,6.570663,5.589050,5.453781,4.423065,9.452087,3.889160,7.054291,7.872696,8.179153,7.804459,10.459641,7.690735,6.901855,7.339996,7.418991,9.539063,8.388657,8.423370,6.595398,7.672775,7.705109,12.127197,6.961700,6.628906,5.731079,12.634766,5.272598,13.504364,14.519501,14.355499,12.019974,11.067062,12.095383,13.385864,14.257339,16.008698,14.746964,12.701126,12.030746,13.035095,13.512741,14.615280,9.298950,10.142899,9.496460,18.091660,12.863922
Marcher,Maison,-1.785355,-1.274185,-1.002441,-0.991669,-0.934204,-0.855194,-1.227493,0.422104,-0.251862,-1.067093,0.179092,-0.300949,-1.955338,-2.343201,-1.050323,0.669907,0.085724,0.751312,0.948822,1.157120,4.104645,4.715164,4.637344,5.221542,5.991272,5.745865,3.859238,4.320114,3.971756,4.995285,5.644119,5.773407,4.034012,4.180054,3.861633,5.434616,5.603409,6.834030,5.298157,3.952606,10.954041,8.091766,7.984024,7.296890,7.513565,8.423370,12.811935,8.107330,9.280487,7.563843,7.445328,8.696304,12.237335,9.069794,8.534698,7.027542,7.555466,8.745392,9.987976,10.507523,13.273331,11.532745,11.618927,11.526764,12.570633,13.314041,15.443680,12.849548,13.000381,11.492035,13.268539,14.168762,14.316010,10.906647,11.346008,13.132065,13.244598,16.330734,16.234955,15.617249
Marcher,Maison,-0.305725,1.829895,0.667511,-0.019623,-0.670853,-0.588242,-2.249817,-2.206726,-0.039978,-0.079483,0.090515,-0.340454,0.283249,0.229370,0.085724,-0.293762,-0.090256,-0.947372,-2.691559,-2.189972,5.717133,4.931839,3.939438,5.290970,6.114578,6.747833,4.984512,4.453003,4.235123,5.301743,5.596222,7.091400,3.716782,4.065140,4.142944,5.214355,6.093033,6.207947,4.073517,3.259491,10.484772,8.017548,9.023117,7.423782,7.928955,9.306824,11.735748,7.518356,6.876709,6.791718,8.149231,9.042267,12.182266,9.127258,7.616516,7.332809,7.500397,9.348724,11.386185,9.886215,15.896179,14.779282,13.630066,12.695129,13.372681,15.466415,14.470444,9.764633,11.071854,12.013977,13.835968,15.793213,16.182297,13.421768,11.845184,12.253403,13.503174,14.609299,12.768143,10.955734
Ne rien faire,Maison,0.043823,-0.680420,-0.769012,-0.480515,-3.147644,-1.877533,-1.422623,-1.786545,-0.352417,-1.768585,-2.200745,-4.207077,-0.577469,-0.312912,-0.809708,-1.155670,-1.089828,-0.949768,-1.013214,-0.867172,8.415405,8.280136,8.094574,7.091400,10.305618,7.671997,8.422577,7.758194,6.529968,7.033951,7.118942,9.540680,6.648483,7.723480,7.306885,7.444550,7.612152,7.423004,7.518768,7.425400,5.599411,5.106201,4.714752,4.362793,5.792145,7.092194,6.816849,5.685593,6.780945,7.247818,6.810867,10.776871,5.501236,6.785736,6.266190,6.162048,6.853973,6.433777,6.367950,6.921005,14.058640,12.705917,12.040314,10.973679,12.950119,12.886658,13.816803,11.657242,12.958496,12.513184,11.729065,16.110474,11.572250,14.196304,12.763367,12.450928,13.376297,12.907013,12.873505,13.479233
Ne rien faire,Maison,-1.591415,-0.152496,0.005508,-0.095047,-0.105820,-0.105820,-0.126160,-0.023224,-0.132156,-0.101028,0.338303,-0.197998,0.307190,0.047409,0.103683,0.091705,0.065369,0.110855,0.246124,0.104874,3.974152,3.903534,3.751495,3.744308,3.879593,3.956207,3.955002,4.126190,4.053162,3.999298,3.881973,3.716782,3.933456,3.909515,3.955002,4.006485,3.959793,4.000488,3.939438,3.771851,8.987198,9.492371,9.184723,9.424149,9.001572,9.070999,8.928543,8.999176,9.009949,8.798065,9.695877,8.726227,9.351120,9.087753,8.974030,9.044662,9.023117,9.037476,9.376251,8.711868,11.369934,13.243408,12.941727,13.073410,12.775345,12.921387,12.757385,13.102142,12.930954,12.696335,13.916153,12.245010,13.591766,13.044678,13.032715,13.142853,13.048279,13.148819,13.561813,12.588593
Ne rien faire,Maison,-0.942596,-1.223907,-1.287354,-1.272995,-1.142502,-1.197571,-1.262222,-1.286163,-1.274185,-1.306503,-1.317276,-1.269394,-1.311295,-1.262222,-1.219116,-1.215530,-1.208344,-1.281372,-1.250244,-1.213135,4.716354,4.739105,4.814514,4.795364,4.639740,4.657700,4.584671,4.675659,4.646927,4.639740,4.649323,4.589462,4.649323,4.588272,4.582291,4.597839,4.575104,4.546371,4.605026,4.578690,8.408997,8.818405,8.647217,8.561035,8.817215,8.578995,9.061417,8.776505,8.837555,8.813614,8.784897,8.752563,8.641235,8.569412,8.485611,8.398224,8.620880,8.732224,8.665176,8.774109,12.182755,12.333603,12.174377,12.083405,12.314453,12.039124,12.383865,12.166000,12.210297,12.146851,12.116943,12.072632,11.979263,11.895462,11.848785,11.780533,11.987640,11.997223,12.019958,12.139664
Ne rien faire,Maison,-1.379532,-1.088638,-1.061096,-1.070679,-1.168839,-1.099411,-1.014420,-0.982101,-1.019211,-1.034760,-0.905487,-1.116165,-1.071884,-1.092224,-1.033569,-1.032379,-1.226303,-0.389526,0.473587,1.236130,2.750717,2.809372,2.772263,2.751923,2.719589,2.681290,2.644180,2.647766,2.640579,2.489746,2.458633,2.483765,2.422714,2.388000,2.335327,2.342514,2.206039,1.737976,1.565598,1.482986,9.644409,9.215851,9.614487,9.284088,9.500763,9.779678,9.400192,9.600113,9.290070,9.638428,9.425339,9.594131,9.533081,9.551041,9.570190,9.656372,8.957275,10.240570,9.547440,10.046631,11.015594,10.936584,11.325653,10.965332,11.051514,11.361557,11.029953,11.265778,10.911438,11.093414,10.978485,10.961731,10.883911,10.846817,10.871948,10.966507,9.937012,11.589020,11.586624,12.765747
Ne rien faire,Maison,2.035797,2.149521,2.215363,2.023819,2.197403,2.433228,1.950806,2.262054,1.784409,1.603638,0.346695,1.013474,1.205002,0.592087,1.300781,1.467178,0.489136,1.902924,2.836655,2.973129,1.411163,1.314194,1.299835,1.281876,1.190903,1.257935,1.200470,1.267517,1.091537,1.457855,1.469818,1.766708,1.737976,1.668533,1.805008,1.773880,1.947464,2.458633,2.536438,2.772263,9.583359,9.516312,9.558212,9.658768,9.442093,9.479202,9.653992,9.657578,9.634827,9.801224,9.776093,9.290070,9.843124,9.753342,9.728210,9.664764,10.831924,8.483215,9.727005,9.274506,13.030319,12.980026,13.073410,12.964462,12.830399,13.170364,12.805267,13.187149,12.510773,12.862717,11.592606,12.070251,12.786102,12.013962,12.834000,12.905823,13.268524,12.844772,15.100098,15.019897
